UserID,AMF,AttributeItemKNN,AttributeUserKNN,BPRMF,ConvMF,DeepFM,FunkSVD,ItemKNN,MF2020,MF,MostPop,MultiVAE,NeuMF,PMF,PureSVD,Random,Slim,UserKNN,VSM
1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0
19,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
51,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
75,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
86,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0
99,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1
119,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0
153,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1
194,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
210,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
349,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1
468,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
470,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1
484,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0
490,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
580,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
606,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1
629,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0
634,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1
719,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1
737,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0
743,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1
753,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
762,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
775,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
829,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
866,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1
871,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
875,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
884,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1
888,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
906,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
926,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0
940,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0
960,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1
979,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
997,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
1045,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1
1054,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1056,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1088,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1
1096,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0
1154,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1163,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
1182,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1187,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1200,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1
1220,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1
1241,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0
1263,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1280,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1296,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0
1300,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
1308,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1327,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1
1348,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1
1353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1
1366,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1
1372,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1380,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1421,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1425,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1434,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
1458,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0
1468,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1478,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1
1499,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0
1508,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
1509,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0
1563,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
1568,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
1573,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1
1673,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1789,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1818,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1
