UserID,AMF,AttributeItemKNN,AttributeUserKNN,BPRMF,ConvMF,DeepFM,FunkSVD,ItemKNN,MF2020,MF,MostPop,MultiVAE,NeuMF,PMF,PureSVD,Random,Slim,UserKNN,VSM
1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
19,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
51,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1
75,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
86,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
194,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
210,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
470,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
484,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
490,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
580,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1
606,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
629,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0
634,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
719,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1
737,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
743,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0
753,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
762,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
775,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1
829,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
866,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
871,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
875,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
884,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
888,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
906,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1
926,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
940,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
960,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
1045,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1054,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1056,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1084,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1088,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1
1163,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1182,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1187,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1
1195,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0
1198,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1200,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1220,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1280,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1
1296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1300,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0
1308,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
1327,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1
1348,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1353,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1365,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1366,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1372,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1380,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1425,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
1434,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1468,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1478,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1
1499,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
1508,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
1509,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1563,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1568,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0
1573,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1673,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1789,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
1815,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1818,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1857,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1878,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1
1929,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1935,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1948,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1955,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1978,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1982,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
2003,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2024,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
