UserID,AMF,AttributeItemKNN,AttributeUserKNN,BPRMF,ConvMF,DeepFM,FunkSVD,ItemKNN,MF2020,MF,MostPop,MultiVAE,NeuMF,PMF,PureSVD,Random,Slim,UserKNN,VSM
1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
19,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
51,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1
99,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0
119,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1
153,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
194,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1
470,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1
484,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0
490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
606,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
629,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
634,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1
719,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
737,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1
743,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
753,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
775,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
829,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0
866,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
871,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
875,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
884,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0
888,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
906,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
940,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1
960,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
979,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0
997,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1045,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1054,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
1056,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1084,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1088,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1
1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1154,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
1163,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0
1182,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
1187,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1195,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0
1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1200,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0
1220,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0
1241,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0
1263,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1
1280,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1296,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1300,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1
1308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1327,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0
1348,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1353,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0
1365,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1
1366,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
1421,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1425,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1
1434,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1478,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1563,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1568,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1573,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1
1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1789,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1
1815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1818,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1
1857,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1878,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1910,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
1919,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1
1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1929,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0
1935,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
1978,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1
1982,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1
2003,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2024,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
2047,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0
2052,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
2060,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2108,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2120,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2155,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
2162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2166,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0
2168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2169,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2176,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0
2189,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
2193,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
2195,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
2199,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
2202,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2217,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0
2235,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2236,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2244,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
2245,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0
2285,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2288,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2418,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2657,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0
2687,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2810,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1
2853,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2858,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2910,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1
3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3087,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
3190,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0
3234,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
3298,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1
3316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3460,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1
3537,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
3573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3604,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3667,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3710,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
3780,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3843,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3865,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0
3904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4086,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1
4087,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0
4102,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0
4135,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1
